2019-05-28 22:40:55.819 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: createUsingPOST_19
2019-05-28 22:40:55.830 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: destroyUsingDELETE_14
2019-05-28 22:40:55.916 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: listUsingGET_26
2019-05-28 22:40:55.932 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: listByDepartmentIDUsingGET_9
2019-05-28 22:40:55.948 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: listBySubdepartmentIDUsingGET_4
2019-05-28 22:40:55.968 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: listByUniversityIDUsingGET_13
2019-05-28 22:40:55.986 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: receiveUsingGET_16
2019-05-28 22:40:56.004 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: updateUsingPUT_14
2019-05-28 22:40:56.021 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: Display2FUsingGET_1
2019-05-28 22:40:56.034 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: createUsingPOST_20
2019-05-28 22:40:56.046 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: receiveUsingGET_17
2019-05-28 22:40:56.054 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: selectAllUsingGET_3
2019-05-28 22:40:56.066 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: TreeList2FrontUsingGET_1
2019-05-28 22:40:56.076 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: createUsingPOST_21
2019-05-28 22:40:56.086 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: executeUploadUsingGET_1
2019-05-28 22:40:56.095 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: listUsingGET_27
2019-05-28 22:40:56.105 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: listByCourseItemIdUsingGET_1
2019-05-28 22:40:56.114 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: receiveUsingGET_18
2019-05-28 22:40:56.128 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: deleteCurriculumUsingDELETE_1
2019-05-28 22:40:56.142 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: getCurriculumMsgUsingGET_1
2019-05-28 22:40:56.159 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: insertCurriculumUsingPOST_1
2019-05-28 22:40:56.173 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: selectAllCurriculumUsingGET_1
2019-05-28 22:40:56.186 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: ttttUsingGET_1
2019-05-28 22:40:56.200 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: updateCurriculumUsingPUT_1
